ID,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
386,ASUS,ZenBook,Intel,Core i5,11th,16,LPDDR4X,512,0,Windows,64,0,Casual,14,1,Yes,No,105990,140990,24,4.4,59,11
387,MSI,Prestige,Intel,Core i5,11th,16,LPDDR4X,512,0,Windows,64,0,Casual,14,1,No,No,79990,95990,16,0,0,0
388,Lenovo,Core,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,No,36990,57990,36,3.7,103,10
390,DELL,Vostro,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,55490,80711,31,4.1,337,27
392,Lenovo,IdeaPad,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,69990,104890,33,4.6,10,2
394,ASUS,Zenbook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,84990,116990,27,4.2,10,2
395,DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,59990,76143,21,3.8,31,7
396,HP,15s,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,39990,45514,12,3.9,324,45
398,ASUS,ZenBook,Intel,Core i7,10th,16,LPDDR3,1024,0,Windows,64,2,Casual,14,1,No,Yes,124990,146990,14,4.6,17,1
400,DELL,XPS,Intel,Core i5,10th,8,LPDDR4X,512,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,111890,154446,27,0,0,0
401,DELL,Inspiron,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,2,Casual,15.6,0,No,No,122410,0,0,0,0,0
402,DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,Casual,15.6,1,No,No,65990,88037,25,4.3,10,0
403,ASUS,Zenbook,Intel,Core i5,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,14,1,No,Yes,72990,90990,19,4.7,76,14
